སྣ་ལེན་,སྣེ་ལེན་
སྣམ་ཕྱིས་,སྣམ་ཕྱིང་
སྣུམ་སྣག་སྣུམ་ཅན་སྣག་ཚ་པར་རྒྱག་སྐབས་ཀྱི་མཁོ་རྫས་ཤིག་སྣུམ་པ་,སྣུམ་པོ་
སྣེ་རྒོད་,སྣེའུ་རྒོད་
སྣོག་ཟན་,རྣོག་ཟན་
སྣོད་ཀྱི་སྐྱོན་གསུམ་,ཉོན་མོངས་
སྤ་འབྲུ་,སྤ་འབྲུམ་
སྤ་མ་,ཤུག་པ་
སྤང་རྒྱུས་,རྡོ་སྨན་གྱི་རིགས་དབྱིབས་རྒྱུས་ཕྲན་གཤིབ་པ་
སྤམ་བཤད་,སྤོམ་བཤད་
སྤར་མ་,པར་མ་
སྤར་མོ་,སྦར་མོ་
སྤུ་དེ་གུང་རྒྱལ་,པུ་དེ་གུང་རྒྱལ་
སྤུག་རིན་ཆེན་ཞིག་སྤུང་ངེ་བ་,ཕུང་ངེ་བ་
སྤུས་ཁ་,སྤུས་ཀ་
སྤུས་དག་པ་,སྤུས་དག་པོ་
སྤེ་,ཁང་པའི་བཟོ་དབྱིབས་ལྟར་བརྩིགས་པའི་དངོས་པོའི་དོན་དུ་གོ་བའི་སྤེའུ་
སྤོ་ཏོག་རྩེ་ཏོག་སྤོ་ཐོ་,སྤོ་ཏོ་
སྤོམ་རྩིས་,དཔོག་རྩིས་
སྤོས་འདྲ་,ཆོས་པ་ཚོས་སྤོས་སྣ་ཞུ་སྐབས་ལག་འཁྱེར་སྤོས་ཆུན་པོ་
སྤྱང་ཁུ་,སྤྱང་ཀི་
སྤྱན་མཐོན་མཐིང་འདྲ་བའི་མཚན་བཟང་,སངས་རྒྱས་ཀྱི་མཚན་བཟང་སོ་གཉིས་ཀྱི་ནང་གསེས་ཤིག་སྟེ་སེམས་ཅན་ཐམས་ཅད་ལ་བུ་གཅིག་པ་
སྤྱན་ལྡན་,གོས་ཆེན་གྱི་དོན་དུ་གོ་བའི་སྤྱན་འདན་
སྤྱི་འགྲེ་,ཀུན་
སྤྱི་གཅེར་,སྤྱི་ཅེར་
སྤྱི་ཆེར་,སྤྱི་ཅེར་
སྤྱི་དམ་,སྤྱི་ཐམ་
སྤྱི་མཚུངས་,བྱིངས་སམ་ཀུན་
སྤྱིའུ་བླུགས་,སྤྱི་བླུགས་
སྤྱིའུ་ཚུགས་,སྤྱི་ཚུགས་
སྤྱིལ་པོ་,སྤྱིལ་བུ་
སྤྱོད་པའི་རྒྱུད་,སྤྱོད་རྒྱུད་
སྤྲ་བའི་མེ་ཏོག་མེ་ལེན་སྤྲ་བའི་མེ་ཏོག་སྤྲ་མི་,མིའི་དབྱིབས་གཟུགས་
སྤྲང་རྒན་,སྤྲང་པོ་
སྤྲལ་རིས་,དཔྲལ་རིས་
སྤྲིན་འཇའ་,འཇའི་ཁ་དོག་
སྤྲེའུ་,མི་
སྤྲེའུ་ལད་,སྤྲེལ་ལད་
སྦང་,སྦངས་
སྦབ་ཅ་,སྦབ་ཆ་
སྦུག་ཆོལ་,སྦུག་ཆལ་
སྦུན་མ་,སྦུན་པ་
སྦུབ་ཆོལ་,སྦུབ་ཆལ་
སྦུར་བ་,སྦུར་མ་
སྦེ་ཀ་,སྦེ་ག་
སྦེ་ཁ་,སྦེ་ག་
སྦོ་,དབོ་
སྦོ་རིལ་,སྦུག་རིལ་
སྦྱར་ཁ་,སྦྱར་ཀ་
སྦྱོང་ཐར་,སྦྱོང་བརྡར་
སྦྲང་ཡབ་,སྦྲང་གཡབ་
སྦྲེང་ཚར་,སྦྲེངས་ཚར་
སྨག་སྦྲན་,སྨག་ཁྲན་
སྨན་ཙེ་,མན་ཙི་
སྨན་ཤར་,དམན་ཤར་
སྨར་ཆུ་,རྩེ་ཆུ་སོགས་
སྨུགས་པ་,སྨུག་པ་
སྨེ་བ་,དམེ་
སྨེག་པ་,སྨྲེག་པ་
སྨེད་,རྨེད་
སྨེད་པ་,རྨེད་པ་
སྨྱག་ཤད་,སྨག་ཤད་
སྨྱན་ཁ་,སྨྱན་ཀ་
སྨྱན་ག་,སྨྱན་ཀ་
སྨྱིན་མ་,སྨིན་མ་
ས་སྟན་,ས་གདན་
ས་འདོལ་,བྱེ་མ་
ས་ཕྱོད་,ས་ཆོད་
ས་འབྲས་,སྲ་འབྲས་
ས་ཚུར་,ས་མཚུར་
ས་ལེ་བ་,གསལ་ལེ་བ་
སག་སག་,སག་ས་
སངས་རྒྱས་རབས་བདུན་,སངས་རྒྱས་དཔའ་བོ་བདུན་
སབ་མོ་,སབ་མ་
སར་པ་,གསར་པ་
སིངས་པ་,སིང་པོ་
སིངས་པོ་,སིང་པོ་
སིབ་,སིབ་བི་
སིབ་བུ་,སིབ་བི་
སིམ་པོ་,བདེ་བའམ་སྐྱིད་པའི་དོན་དུ་གོ་བའི་སིམ་པ་
སིལ་མ་,སིལ་བུ་
སིལ་ལི་མ་,སི་ལི་མ་
སུག་པོ་,རྐང་ལག་གི་དོན་དུ་གོ་བའི་སུག་པ་
སུམ་ཆ་,གསུམ་ཆ་
སུམ་གཉིས་,གསུམ་གཉིས་
སུམ་བྲིཏ་,སུམ་བིད་
སུརྱ་,སུརྱ་
སེ་གོ་བོ་,སེ་གོ་དིང་
སེ་ཡབ་,བསེ་ཡབ་
སེ་ཤིང་,བསེ་ཤིང་
སེག་རྡར་,སག་རྡར་
སེང་,གསེང་
སེར་ཁ་,སེར་ཀ་
སེར་ཁ་མ་,སེར་སྐམ་མ་
སེར་ག་,སེར་ཀ་
སེར་པོ་དཔའ་བོ་,སེར་པོ་བཙན་དུག་
སེར་ཕྲེང་,སེར་འཕྲེང་
སོ་ཀ་,སོས་ཀ་
སོ་ག་,སོས་ཀ་
སོ་ཉུལ་,སོ་མྱུལ་
སོ་བ་,སོ་པ་
སོ་འབྲུ་,སོ་འདྲུ་
སོ་མ་ར་ཙ་,སོ་མ་རཱ་ཛཱ་
སོ་ཚི་,སོ་རྩི་
སོ་གསོད་པོ་,སོ་གསོད་པ་
སོག་ཁ་པ་,སོག་ཀ་པ་
སོག་ག་པ་,སོག་ཀ་པ་
སོག་པའི་མེ་ལོང་,དབྱིབས་མེ་ལོང་
སོབ་པ་,སྙིང་པོ་མེད་པའི་ཁོང་སྟོང་གི་དོན་དུ་གོ་བའི་གསོབ་པ་
སོལ་རྡོ་,བྲག་སྲུབས་སོགས་ནས་ཐོན་པའི་རྡོ་རིགས་མདོག་ནག་པོ་སོལ་བ་
སོས་དལ་,སོས་གདལ་
སྲ་པོ་,སྲ་བ་
སྲ་མོ་,སྲ་བ་
སྲ་རྩི་སྤོས་,སྲ་རྩི་སྤོག་
སྲབ་གོར་,སྲབ་སྒོར་
སྲབ་མོ་,སྲབ་པོ་
སྲི་ཁྲི་བཙན་པོ་,སྲིབ་ཁྲི་བཙན་པོ་
སྲིན་གྱི་མེ་,སྡོམ་
སྲིན་འབུ་,སྲིན་བུ་
སྲིབས་,སྲིབ་
སྲུན་པ་,སྲུན་པོ་
སྲུབས་དབར་,སྲུབས་དབྲག་
སྲེ་བོ་,བསྲེ་བོ་
སྲེ་མོ་,སྲེ་མོང་
སྲོ་ཁང་,བསྲོ་ཁང་
སྲོ་གང་,བསྲོ་ཁང་
སྲོ་སྒོང་,བསྲོ་ཁང་
སྲོལ་ཀ་,སྲོལ་ཁ་
སླ་ཆོས་,སླ་བཅོས་
སླ་པོ་,གར་པོ་མིན་པ་སོགས་ཀྱི་དོན་དུ་གོ་བའི་སླ་བ་
སླ་མོ་,གར་པོ་མིན་པ་སོགས་ཀྱི་དོན་དུ་གོ་བའི་སླ་བ་
སླ་ཙ་,སླད་ཚ་
སླགས་པ་,སླག་པ་
སླད་ཙ་,སླད་ཚ་
སླུ་འབྲིད་,སླུ་འདྲིད་
སླེ་བོ་,སླེ་བ་
ས་,ས་ཁྲ་
སོ་ཀ་,སོས་ཀ་
སོལ་བ་,མདོག་དང་སྤྱོད་ཡུལ་སོལ་བ་
སྙན་,སྙན་གྲགས་
སྙིང་,དབྱིབས་ནི་ཚ་ཚ་
སྟབ་སེང་,ཤུན་པའི་ནང་དུ་རྫས་སྲིན་བལ་
སྤང་,ལོ་མ་ཀྱི་ལྕེའམ་ཤེལ་ཏང་
སྤུས་,སྤུས་
སྤྱང་ཀི་,དབྱིབས་ཁྱི་
སྤྲ་,གཟུགས་དབྱིབས་སྤྲེའུ་
སྤྲ་བ་,དབྱིབས་སྤྲ་བ་
སྦུག་,ཕུག་
སྦྲེ་,གཟུགས་དབྱིབས་ཝ་
སྨོན་,སྨོན་པ་
སྲལ་,མདོ་སྨད་ཀྱི་ཡུལ་སྐད་ལ་སྲལ་ལེན་ཞེས་པ་
ས་བཅུ་པོ་དག་ལ་བྱང་ཆུབ་སེམས་དཔའ་བཅུ་རྣམ་པར་གཞག་པ་བཅུ་,བྱང་ཆུབ་སེམས་དཔའ་ཕྱིར་མི་ལྡོག་པའི་ས་ལ་ཞུགས་པ་རྣམས་
ས་འདྲེ་བ་,སྤུ་ཁ་ས་མདོག་
ས་སྐྱ་,ཐལ་མདོག་
སངས་རྒྱས་,ང་མིན་ང་
སབ་མོ་,སབ་མ་
སེ་ཡབ་,མ་རུ་རྩེ་
སེང་གེའི་གདོང་,མེ་ཏོག་སེང་གེའི་ཁ་
སེམས་འཆི་མེད་ཀྱི་ཁྲིད་,ནཻ་གུ་ཆོས་དྲུག་སོགས་
སོག་ཆུ་,ནག་ཆུ་
སྐྱེས་བུ་བྱེད་འབྲས་,དཔེར་ན་བྱ་རོག་གི་རྐང་པ་
སྒྱུ་མའི་དཔེ་བཅུ་གཉིས་,རགས་པའི་ལུས་སྤྲིན་
སྒྲུབ་གཤེན་,།བོན་གཤེན་
སྟན་གཅིག་,སྟན་ཐོག་གཅིག་
སྣ་ཐུག་,སྣ་རྟུག་
སྣ་རྒྱུག་གཞུས་པ་,སྣ་དབྱུག་གཞུས་པ་
སྣ་རྟུག་,སྣབས་
སྤངས་པ་སྟོབ་པའི་ལྟུང་བྱེད་,།གསུམ་པ་ནི་སྔར་སྤངས་ཟའི་སྐབས་
སྤུ་རིང་,ལུས་ལ་ཁབ་
སྤྱན་མཐོན་མཐིང་འདྲ་བའི་མཚན་བཟང་,སེམས་ཅན་ཐམས་ཅད་ལ་བུ་གཅིག་པ་
སྤྲིན་འཇའ་,འཇའི་ཁ་དོག་
སྦྲང་ལྷག་,སྦྲང་ལྷད་
སྨག་རུམ་,སྐར་མ་
སྨན་ལྟ་བུའི་སེམས་བསྐྱེད་,སྡུག་བསྔལ་བསྐྱེད་པས་ནད་
སྨུག་པོ་སྦལ་རྒྱབ་,བཅག་ཚེ་རྒྱ་ཚྭ་བཅག་པ་
སྨོན་ནས་མཁྱེན་པ་,འདི་ནི་མངོན་ཤེས་
སྨོན་ནས་ཤེས་པ་,འདི་ནི་མངོན་ཤེས་
སྨྱག་ཀ་,སྨྱན་ཀ་
སྲད་བུའི་མེ་ཏོག་ཅན་,དབྱིབས་སྲན་བུའི་མེ་ཏོག་
སློབ་དཔོན་,།སྤྱི་
སློབ་པའི་ལས་ཀྱི་འབྲས་བུའི་གྲངས་,།སློབ་པས་མི་སློབ་པ་སྐྱེད་པའང་དེ་
སྔགས་ཀྱི་ཐེམ་ཡིག་,།རྟག་ཕྱུང་མན་ངག་སྙིང་
སྒོམ་མེད་ཆུ་བོའི་རྒྱུན་གྱི་རྣལ་འབྱོར་,སྤྱོད་ལམ་ཐམས་ཅད་རང་བཞིན་གྱི་བསམ་གཏན་
སྤྲུལ་སྐུའི་བཞུགས་སྟངས་,དཔེར་ན་དྲང་སྲོང་ཙོག་པུ་
སྙིང་རྗེའི་བསྟོད་པ་,བར་དུ་སྤེལ་བ་ལ་ཆུ་
སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་,།སྤྱན་ནི་སྐད་ཅིག་གློག་
སྲོག་ནས་བཏང་བའི་རླུང་གི་མན་ངག་,།དེ་ནི་རྐུན་མ་སྒོར་འདོན་པ་
སྦྱོར་ལམ་དྲོད་ཀྱི་མངོན་རྟོགས་,གཞལ་ཡས་ཁང་བསྐྱེད་པའི་བར་སྔ་མ་
སྙིང་པོ་ཡེ་ཤེས་རླུང་,དེའང་ཀུན་ཏུ་སྣང་བ་གསུམ་
ས་ལུགས་རྟེན་འབྲེལ་སྲུང་བའི་བྱིན་རླབས་ཀྱི་བརྒྱུད་པ་,རྟེན་འབྲེལ་སྲུང་བ་རྗེ་ས་ཆེན་གྱིས་གསུང་གཉིས་གོང་
ས་ལུགས་རི་ཁྲོད་མ་སེར་མོའི་རྗེས་གནང་གི་བརྒྱུད་པ་,སྒྲུབ་ཐབས་རྗེས་གནང་བཅས་ཐར་པཎ་གྱིས་མཛད་པ་རྗེས་གནང་
ས་སྐྱའི་གསེར་ཆོས་ཁྱུང་ནག་གི་རྗེས་གནང་གི་བརྒྱུད་པ་,བརྒྱུད་འདེབས་ངག་དབང་ལེགས་གྲུབ་ཀྱིས་མཛད་པ་བཅས་གོང་
ས་སྐྱའི་གསེར་ཆོས་ཀུ་རུ་ཀུལླེའི་རྗེས་གནང་གི་བརྒྱུད་པ་,རྗེས་གནང་བཅས་དཀོན་མཆོག་ལྷུན་གྲུབ་ཀྱིས་མཛད་པ་རྣམས་གོང་
སྤོམ་མདའ་གསང་སྔགས་བདེ་ཆེན་,སྔགས་ཆོག་དབུས་ཀྱི་རྒྱུད་སྨད་
སུ་རུ་ཙནྡན་,ཨར་དམར་
སྒྲ་གཅན་གྱི་དཀྱི་འཁོར་,།དེས་ན་གཅིག་ཤར་ན་ཉི་ཟླ་
སྒྲོ་སྟོན་,ང་བ་ལང་
སའི་མིག་,སའི་མིག་
སེངྒེ་གངས་ལ་འཕྱོ་བ་,རི་བོང་ཐུར་རྒྱུག་གི་ས་
སྟོད་འགེ་,སྟོད་ཐུང་
སྤུན་ཡ་,སྤུན་མཆེད་
སྦུར་གོག་,སྦུར་
སུམ་འཕུ་རྒྱག་,སུམ་འཕྲུ་རྒྱག་
སབ་ར་,སབ་མ་
སྒྲོལ་མ་བཀྲ་ཤིས་དོན་གྲུབ་མའི་རྗེས་གནང་གི་བརྒྱུད་པ་,ཀརྨ་པ་དབང་ཕྱུག་རྡོ་རྗེ་མན་གོང་དཀར་ལུགས་སྒྲོལ་དཀར་
སྐུད་པ་,སྐུད་པ་
སྒྲེ་,ཤེས་ཟིན་པའི་བྱ་དངོས་ཤིག་གི་གནས་ལུགས་ལ་བསྡུར་ནས་དེ་
སྙན་,སྙན་གྲགས་
སྙིང་,དབྱིབས་ནི་ཚ་ཚ་
སྟབ་སེང་,ཤུན་པའི་ནང་དུ་རྫས་སྲིན་བལ་
སྤང་,ལོ་མ་ཀྱི་ལྕེའམ་ཤེལ་ཏང་
སྤུས་,སྤུས་
སྤྱང་ཀི་,དབྱིབས་ཁྱི་
སྤྲ་,གཟུགས་དབྱིབས་སྤྲེའུ་
སྤྲ་བ་,དབྱིབས་སྤྲ་བ་
སྦུག་,ཕུག་
སྦྲེ་,གཟུགས་དབྱིབས་ཝ་
སྨག་,ཚེར་སྐྱའི་རྩ་བར་ཞོར་ལ་སྐྱེས་པའི་རྩི་ཤིང་དབྱིབས་ལ་ཕུག་
སྨོན་,སྨོན་པ་
ས་,ས་ཁྲ་
སིབ་,ཐོག་མར་ཕོག་སྐབས་ལུས་དྲོད་རྒྱས་ཤིང་མགོ་བོ་ན་བ་སོགས་ཚ་བ་སྤྱི་
སོ་ཀ་,སོས་ཀ་
སོལ་བ་,མདོག་དང་སྤྱོད་ཡུལ་སོལ་བ་
སྲལ་,མདོ་སྨད་ཀྱི་ཡུལ་སྐད་ལ་སྲལ་ལེན་ཞེས་པ་
སྐད་ཅ་,སྐད་ཆ་
སྐུ་སྙེ་,སྐུ་སྙེས་
སྐུ་རྟེན་,སྐུ་
སྐུན་ཁར་,སྐུན་མཁར་
སྐུན་བུ་,སྐུན་པོ་
སྐེ་ཙོང་,སྐེ་རྩོང་
སྐེ་ཚེ་,ལོ་སྡོང་སོགས་ཡུངས་ནག་
སྐེག་,དུས་ངེས་ཅན་གྱི་བར་ཆད་ཀྱི་དོན་དུ་གོ་བའི་སྐག་
སྐེད་འཆིང་,སྐེད་ཆིངས་
སྐྱ་ཀ་,སྐྱ་ག་
སྐྱ་བ་,སྐྱ་བོ་
སྐྱ་བོ་,ཐལ་བ་
སྐྱ་སེང་,སྐྱ་སང་
སྐྱ་བསང་,སྐྱ་སང་
སྐྱ་བསངས་,སྐྱ་སང་
སྐྱ་བསེང་,སྐྱ་སང་
སྐྱར་པོ་,སྐྱར་མོ་
སྐྱི་བུངས་,སྐྱི་བུང་
སྐྱི་འབྲུ་,སྐྱི་འབྲས་
སྐྱི་བསེར་,སྐྱི་སེར་
སྐྱིགས་པ་,སྐྱིགས་བུ་
སྐྱིང་ཁེབ་,སྐྱིང་ཁབ་
སྐྱིང་ཁེབས་,སྐྱིང་ཁབ་
སྐྱིད་པ་,སྐྱིད་པོ་
སྐྱིན་,གཟུགས་དབྱིབས་ར་
སྐྱིན་ཁབ་,སྐྱིང་ཁབ་
སྐྱིན་ཁེབ་,སྐྱིང་ཁབ་
སྐྱིན་ཁེབས་,སྐྱིང་ཁབ་
སྐྱིན་པོ་,སྐྱིན་པ་
སྐྱུག་བྲོ་བ་,སྐྱུག་བྲོ་པོ་
སྐྱུང་ཀ་ཁ་ལེབ་,ཚག་རྒྱག་བྱེད་ཀྱི་ཡོ་བྱད་བྱ་སྐྱུང་ཀའི་མཆུ་དབྱིབས་
སྐྱུང་ཀ་རྩེ་རྐྱོང་,ཚག་རྒྱག་བྱེད་ཀྱི་ཡོ་བྱད་བྱ་སྐྱུང་ཀའི་མཆུ་དབྱིབས་
སྐྱུར་པོ་,སྐྱུར་མོ་
སྐྱུར་བ་,སྐྱུར་མོ་
སྐྱེ་ཀ་,སྐྱ་ག་
སྐྱེ་རྒུ་,སྐྱེ་དགུ་
སྐྱེ་རྟགས་,སྐྱེ་བརྟག་
སྐྱེ་མེད་སྡུག་ཟད་,སྐྱིད་མེད་སྡུག་ཟད་
སྐྱེ་ཚེ་,སྐེ་ཚེ་
སྐྱེ་གཟུགས་,ཛེས་པ་ལྷ་
སྐྱེགས་,སྐེགས་
སྐྱེད་ཀ་,སྐྱེད་ཁ་
སྐྱེན་པོ་,སྐྱེན་པ་
སྐྱེར་པའི་འབྲུ་,སྐྱེར་པའི་འབྲས་བུ་
སྐྱེས་བུ་ཆུང་ངུ་,སྐྱེས་བུ་ཆུང་བ་
སྐྱོ་འདུར་,སྐྱོ་ལྡུར་
སྐྱོ་བསངས་,སྐྱོ་སང་
སྐྱོར་འབྱིན་,དཀྱོར་འབྱིན་
སྐྲ་ཁ་,སྐྱ་ག་
སྐྲ་རྫུན་,སྐྲ་བརྫུས་
སྐྲ་སུ་ལུ་,སྐྲ་སུ་རུ་
སྒབ་,འགབ་
སྒམ་པ་,སྒམ་པོ་
སྒུ་བ་,སྒུ་བོ་
སྒེ་ཁུང་,སྒེའུ་ཁུང་
སྒོ་འཕྱོར་,སྒོ་མཆོར་
སྒོག་ཏིང་,སྒོག་གཏུན་
སྒོར་ཕོར་,སྒོག་ཕོར་
སྒྲུན་ཟླ་,བསྒྲུན་ཟླ་
སྒྲོག་གུ་,སྒྲོ་གུ་
སྒྲོན་མ་,སྒྲོན་མེ་
སྒྲོན་མེ་ཤིང་,སྒྲོན་ཤིང་
སྔ་མོ་,སྔ་མ་
སྔངས་པ་,དངངས་པ་
སྔོ་རྔད་,སྔོ་ངད་
སྙ་ནང་,གཉའ་ནང་
སྙན་པོ་,སྙན་པ་
སྙབ་སྙབ་,རྙབ་རྙབ་
སྙམ་དུ་བསམ་པ་,སྙམ་དུ་དགོངས་པ་
སྙི་པོ་,འཇམ་པའི་དོན་དུ་གོ་བའི་སྙི་བ་
སྙི་བོ་,སྙི་བ་
སྙི་མོ་,སྙི་བ་
སྙིགས་མའི་དུས་,སྙིགས་དུས་
སྙིང་ག་,སྙིང་ཁ་
སྙིང་རྗེ་མོ་,སྙིང་རྗེ་པོ་
སྙིང་ཏིག་,སྙིང་ཐིག་
སྙུག་ཅུ་གང་,སྨྱུག་ཅུ་གང་
སྙུག་བྱ་,སྨྱུག་བྱ་
སྙུག་མ་,སྨྱུག་མ་
སྙེ་མར་མིག་བླུགས་,སྙེ་མ་མིག་བླུགས་
སྙེས་འབོལ་,སྙེ་འབོལ་
སྙོམས་པོ་,སྙོམས་པ་
སྟག་གཟིག་,ཏ་ཟིག་
སྟང་རྩ་,སྟེང་རྩེག་
སྟར་ཀ་,སྟར་ཁ་
སྟར་ག་,སྟར་ཁ་
སྟི་ཀ་,སྟི་ག་
སྟོང་ཁུན་,ཏཱུང་ཀུས་
སྟོངས་གཅོད་,སྟོང་གཅོད་
སྟོད་སྒག་,སྟོད་འགག་
སྟོན་ཁ་,སྟོན་ཀ་
སྟོན་ཏོག་,སྟོན་ཐོག་
སྣ་ག་,སྣ་ཁ་
སྣ་ཐུག་,སྣ་རྟུག་
སྣ་འཛར་,སྣེ་འཛར་
སྣ་ལེན་,སྣེ་ལེན་
སྣམ་ཕྱིས་,སྣམ་ཕྱིང་
སྣུམ་པ་,སྣུམ་པོ་
སྣེ་རྒོད་,སྣེའུ་རྒོད་
སྣོག་ཟན་,རྣོག་ཟན་
སྣོད་ཀྱི་སྐྱོན་གསུམ་,ཉོན་མོངས་
སྤ་ཅོག་,སྤ་ལྕོག་
སྤ་འབྲུ་,སྤ་འབྲུམ་
སྤ་མ་,ཤུག་པ་
སྤམ་བཤད་,སྤོམ་བཤད་
སྤར་མ་,པར་མ་
སྤར་མོ་,སྦར་མོ་
སྤུ་དེ་གུང་རྒྱལ་,པུ་དེ་གུང་རྒྱལ་
སྤུང་ངེ་བ་,ཕུང་ངེ་བ་
སྤུས་ཁ་,སྤུས་ཀ་
སྤུས་དག་པ་,སྤུས་དག་པོ་
སྤེན་ཐོག་,སྤེན་ཏོག་
སྤོ་ཐོ་,སྤོ་ཏོ་
སྤོམ་ཐག་,སྤོང་ཐག་
སྤོམ་རྩིས་,དཔོག་རྩིས་
སྤོས་འདྲ་,ཆོས་པ་ཚོས་སྤོས་སྣ་ཞུ་སྐབས་ལག་འཁྱེར་སྤོས་ཆུན་པོ་
སྤོས་སྤོག་,སྤོས་སྤྲོག་
སྤྱང་ཁུ་,སྤྱང་ཀི་
སྤྱང་ཐག་,དཔྱང་ཐག་
སྤྱན་མཐོན་མཐིང་འདྲ་བའི་མཚན་བཟང་,སངས་རྒྱས་ཀྱི་མཚན་བཟང་སོ་གཉིས་ཀྱི་ནང་གསེས་ཤིག་སྟེ་སེམས་ཅན་ཐམས་ཅད་ལ་བུ་གཅིག་པ་
སྤྱན་ལྡན་,གོས་ཆེན་གྱི་དོན་དུ་གོ་བའི་སྤྱན་འདན་
སྤྱི་འགྲེ་,ཀུན་
སྤྱི་གཅེར་,སྤྱི་ཅེར་
སྤྱི་ཆེར་,སྤྱི་ཅེར་
སྤྱི་དམ་,སྤྱི་ཐམ་
སྤྱི་མཚུངས་,བྱིངས་སམ་ཀུན་
སྤྱིའུ་བླུགས,སྤྱི་བླུགས་
སྤྱིའུ་ཚུགས,སྤྱི་ཚུགས་
སྤྱིལ་པོ,སྤྱིལ་བུ་
སྤྱོད་རྒྱུད་ཀྱི་ཐེག་པ,ལྟ་བ་རྣལ་འབྱོར་རྒྱུད་,སྤྱོད་པ་བྱ་རྒྱུད་
སྤྱོད་པའི་རྒྱུད,སྤྱོད་རྒྱུད་
སྤྲ་མི,མིའི་དབྱིབས་གཟུགས་
སྤྲང་རྒན,སྤྲང་པོ་
སྤྲལ་རིས,དཔྲལ་རིས་
སྤྲིན་འཇའ,འཇའ་ཁ་དོག་
སྤྲེའུ,མི་
སྤྲེའུ་ལད,སྤྲེལ་ལད་
ཕ་བང་ལོང་བུ,རྡོ་སྨན་ནག་པོ་གྲུ་བཞི་ཤོ་
ཕ་བོང,པོ་དེ་རུས་སྦལ་གྱི་དབྱིབས་
ཕ་ཝང་ལོང་བུ,ཡུལ་འགར་གསེར་རྡོ་ཟེར་བའི་རྡོ་ནག་པོ་གྲུ་བཞི་ཤོ་
ཕ་གཡར,ཕ་ཡར་
ཕག་སྐྱག,ཕག་བྲུན་
ཕག་མགོ,རྡོ་སྨན་གྱི་རིགས་ཕག་གི་མགོ་དབྱིབས་
ཕང་པ,པང་པ་
ཕང་ལོ,འཕང་ལོ་
ཕང་ཤིང,འཕང་ཤིང་
ཕན་ཆོད,ཕན་ཆད་
ཕན་ཐོགས་པོ,ཕན་ཐོགས་པ་
ཕབ,ཕབས་
ཕམ་འབབས,ཕམ་ཕབ་
ཕར་ཆེར་ཚུར་ཆེར,ཕར་ཅེར་ཚུར་ཅེར་
ཕར་ལུང་གཙང་པོ,ཡིད་འོང་གཙང་པོ་
ཕལ་ཀ,འཕལ་ཀ་
ཕལ་ཅེར,ཕལ་ཆེར་
ཕུ་དུང,ཕུ་ཐུང་
ཕུང་པོ,་པོའི་སྟེང་དུ་འདུག་པ་
ཕེབ་རྡོབ,ཕེག་རྡོབ་
ཕེར་པོ,འཕེར་པོ་
ཕེར་བ,འཕེར་བ་
ཕོ་ཐང་འབྲུག,་གི་སྐད་
ཕོ་བ་རི་ལུ,ཕོ་བ་རིས་
ཕོ་བ་རིལ་བུ,ཕོ་བ་རིས་
ཕོག་གུ,ཕོ་གུ་
ཕོག་དུག,ཕོག་ཐུག་
ཕོད་ཆུངས་སེ་བ,ཕོད་ཆུང་ངེ་བ་
ཕོར་འབྱིད,ཕོར་ཕྱིས་
ཕྱག་ཐམ,ཕྱག་དམ་
ཕྱག་པ,ཆུན་པོའི་དོན་དུ་གོ་བའི་ཆག་པ་
ཕྱང་འཕྲུལ,ཕྱང་ཕྲུལ་
ཕྱམ་ཆད,ཕྱམ་ཕྱད་
ཕྱམ་རྩེ,ཕྱམ་རྩེ་
ཕྱི་འབྲེད,ཕྱི་འཕྲེད་
ཕྱིན་ག་ལོག,ཕྱིན་ཀ་ལོག་
ཕྱིར་འཆོས,ཕྱིར་བཅོས་
ཕྱུགས་ཆུང,ཕྱུགས་ཕྱུང་
ཕྱུར་ཕྱུར,འཕྱུར་འཕྱུར་
ཕྱེད་པོ,ཕྱེད་མ་
ཕྲ་བ,ཕྲ་མོ་
ཕྲག་རྡང,ཕྲག་གདང་
ཕྲེད,འཕྲེད་
འཕངས་པ,ཕངས་པ་
འཕལ་ཁ,འཕལ་ཀ་
འཕུང་དཀྲུག,ཕུང་དཀྲུག་
འཕེལ་ཀ,འཕེལ་ཁ་
འཕོང་གི་སྤོང་ས,འཕོང་གི་དཔོང་ས་
འཕོན་པོ,ཕོན་པོ་
འཕྱ་ལད,ངོ་བསྟོད་བྱེད་པ་ནི་དོན་ལ་འཕྱ་ལད་རྒྱག་པ་
འཕྱང་འཕྲུལ,ཕྱང་ཕྲུལ་
འཕྱད་པ,ཕྱད་པ་
འཕྱམ,ཕྱམ་
འཕྱར་ཁ,འཕྱར་ཀ་
འཕྱིང་བ,ཕྱིང་བ་
འཕྱུར་པོ,འཕྱུར་བུ་
འཕྱོངས,འཕྱོང་
འཕྲད,ཕྲད་
འཕྲས་པ,འཕྲེས་པ་
འཕྲིན,ཕྲིན་
འཕྲིན་ཡིག,ཕྲིན་ཡིག་
འཕྲིན་ལས,ཕྲིན་ལས་
འཕྲུ་བ,ཕྲུ་བ་
འཕྲེང་རྒྱུད,ཕྲེང་རྒྱུད་
འཕྲེང་ཐག,ཕྲེང་ཐག་
འཕྲེང་རྡོག,ཕྲེང་རྡོག་
འཕྲེང་བ,ཕྲེང་བ་
